Actor, Number of Movies
Alex Zahara, 1
David Kagen, 2
Felissa Rose, 1
Samuel Barnett, 1
Lisa LoCicero, 2
Jacki Weaver, 3
Paul Kynman, 1
Barry Sigismondi, 1
Richard Holden, 2
Antony Coleman, 2
Wing Man Kuen, 1
Michael Hardstark, 1
Gualtiero Tumiati, 1
Andy Jones, 1
Marumi Shiraishi, 1
Bill Nelson, 2
Fred Ewanuick, 2
Cliff Robertson, 21
Mark Wheatley, 1
Katie Cohen, 1
Ion Sapdaru, 1
Peter Canon, 1
David D'Ingeo, 1
Ginifer King, 1
Dorothy Lyman, 1
Bill Schoppert, 2
Julie Kavner, 9
Steven Bronowski, 1
Perry R. Russo, 2
Dani Marco, 1
Mary Hemingway, 1
Pat O'Hara, 1
Louise J. Taylor, 3
Andrew Wyatt, 1
Jean-Pierre Léaud, 15
James Hayter, 2
Henry Hocking, 1
Nancy Lenehan, 8
Roland Bailly, 1
Jennifer Nitsch, 1
Usha Iyer, 1
Lung Ti, 2
John Cho, 23
Barbara Luddy, 5
John Burton, 1
Jeanette Cronin, 4
Steve Cropper, 3
Alfonso Arau, 5
Maurice Ronet, 4
Mark Lambert, 3
Tadashi Yamashita, 2
Jonah Hill, 8
Shigeru Izumiya, 1
Gabrielle Rose, 6
Yû Aoi, 2
Ken Lerner, 11
Thomas Reiner, 1
Busta Rhymes, 13
Edward Janda, 1
Gilmer McCormick, 1
Tommy Moore, 2
Gary Faga, 2
Robert Littman, 4
Caleb Carr, 1
Stephen Beckett, 1
Paul Graham, 3
Ju Xingmao, 1
Robert Bridges, 2
Tony Alcantar, 1
Bobby Campo, 1
Boris Brkic, 2
Richard Gibson, 1
Cliff Haby, 2
Nicolina Papetti, 2
Daniel Hendler, 1
Diana Brooks, 1
Paul Regina, 1
Kate Reid, 7
Patrick Elyas, 1
Robert Dudley, 1
Margaret Travolta, 2
Victoria Shalet, 1
Dimitri Cassar, 1
Jo Yang, 3
Kristina Robbins, 1
Jay Lawrence, 3
Elisabeth Welch, 2
Amy Jo Johnson, 4
Edith Frank, 1
Margaret Whiting, 2
Dao Xiao, 1
Anna Paquin, 24
Gabrielle Lopes Benites, 1
Joseph Schildkraut, 4
Jeff D. Kota, 1
Carol Macartney, 2
Rick Hinkle, 2
Panchito Gómez, 11
Caroline Brunner, 1
Tomie Kataoka, 1
Kkobbi Kim, 1
Michael Nader, 3
Llewellyn Rees, 4
Kelly Coffield Park, 3
Saxon Trainor, 3
Cláudia Macumbinha, 1
Paul Kyrmse, 2
Whit Hertford, 3
Lucia Rijker, 4
David Baerwald, 1
Rebecca McFarland, 2
Laura Ekstrand, 1
Catherine Ohotnikoff, 1
Sean Maher, 2
Tom Gilroy, 2
Michael Marco, 1
Ivor McLaren, 1
Barbie Marie, 1
John Hattan, 1
Maggie O'Neill, 2
Daniel Bos, 1
Curt Doussett, 1
Mayra Serbulo, 2
Richard Lintern, 6
Michel Beaune, 1
Coby Denton, 1
Gus McNaughton, 1
Connie Francis, 1
Renato Giovannoli, 1
James Hurdle, 2
Margaret Wycherly, 4
Marc Tissot, 1
Iris Peynado, 1
Wesley Singerman, 1
Katherine Warren, 2
Moro Morooka, 1
Marion Game, 1
Eriq La Salle, 7
Ege Ernart, 1
Debra Wilson, 2
Kenneth Gilbert, 1
James Madio, 2
John Della Penna, 1
Jay Leno, 4
Emma Stone, 4
Alfred Joseph Berry, 1
Taliesin Jaffe, 5
Kevin Alexander Clark, 2
Gerry Salsberg, 2
Linda Finney, 1
Tommy Thompson, 2
Kenneth Becker, 1
Mercy Lopez, 1
Marley Shelton, 14
John Seaton, 2
Angelo Nazzo, 1
Ray Maurin, 1
Inez Courtney, 1
Vera Felice, 1
Russell Waters, 5
Ayush Mahesh Khedekar, 1
Hayley Tyson, 2
Billy Lombardo, 2
Concha Leza, 1
Sira Stampe, 1
Gordon Whiting, 2
Sarita Khajuria, 1
Sonya Salomaa, 3
Ralph Morino, 1
Sami Kirkpatrick, 1
Pauline Turner, 2
Tabi Cooper, 1
Kevin Chamberlin, 5
Miles Davis, 1
Josiah A. Mayo, 1
Brett Gilbert, 1
Jeanne Balibar, 2
Glen Fleming, 3
Ben Roseman, 1
Mathilde Seigner, 3
Ras Kean, 1
Erin Daniels, 4
Saveli Kramarov, 3
Charles Bates, 2
Arabella Holzbog, 1
David Bailey, 2
David Zayas, 5
Raymond Huntley, 3
Jai Winding, 1
Mary Kay Place, 21
Fily Keita, 1
Lorenzo Robledo, 1
Walter Buch, 1
Christopher Martin, 9
Lobo Chan, 3
January Sorensen, 1
Michael Guess, 2
René Cleitman, 1
Tommy Steele, 1
Michael Winslow, 17
Ray Galletti, 2
Tom Abernathy, 1
Darryl Cooksey, 3
Kristopher Scott Fiedel, 1
Yvonne Shima, 2
Tim Baldini, 1
Natsuko Ohama, 2
Ángela Reina, 1
Myrna Fahey, 1
Richard Crenna, 18
Mia Cottet, 5
Sherry Sibley, 1
Susanna Pasolini, 1
Adam Tanguay, 1
Paul Schrier, 2
Brian Kolodziej, 6
Malachi Pearson, 3
Deborah Odell, 3
Kathryn Marlowe, 1
Victor Kilian, 2
Bertha Leverton, 1
Glen Barry, 2
Angelo Novi, 1
Marla Zuk, 1
Delphine Lapointe, 1
Ulf Friberg, 3
Jeff Morris, 4
Franchesca Clifford, 1
Hope Holiday, 2
Opal Alladin, 1
Peter Klimenko, 1
Beverley Hendry, 1
Mason Gamble, 9
Duane Allen, 1
Natalya Nikulenko, 2
Gordon Howard, 1
Callie Gray, 1
Terrence Jenkins, 1
Heather Stephens, 2
Paul Barrault, 1
Gordon Berry, 1
Alfred Lynch, 3
Mieko Takamine, 1
Michael Weston, 6
Michel Simon, 1
Teresa Rabal, 1
Christopher Walken, 88
Victoria Sanchez, 1
Jenna Gallaher, 1
Vernon Demetrius, 2
Andrew Jack, 1
Marina de Graaf, 1
Diego Treu, 1
James Dodd, 3
Burgess Meredith, 23
Fritz Wepper, 3
Arthur Space, 2
Jim Bouton, 2
Mike Edmonds, 5
Jane Dulo, 1
Bill Reid, 1
Linda Busby, 2
Frankie Davila, 1
Nini Salerno, 1
Anne Holloway, 1
Henri-Jacques Huet, 3
Brian Wilshaw, 1
Stephen Stanton, 1
Tom Towles, 7
Ashley Hughes, 1
Hilary Gilford, 1
Lance Armstrong, 1
Brendon Baerg, 1
Dale Wyatt, 3
Raffaello Degruttola, 1
Arturo Venegas, 5
Rapke Gurung, 1
Yoko Ono, 2
Heather Young, 1
Mary Thompson, 1
Roi Vinzon, 1
Daniel Bernhardt, 2
Barry Coe, 5
Gwendoline Yeo, 1
Joey Scott Harges, 2
Andrew Schofield, 5
Mark Gordon, 3
Charles McGraw, 7
Ashley Buccille, 2
Jessica Fox, 1
Tina, 1
Claus Strandberg, 1
Ivor Novello, 1
Pon Yang, 1
Georges Chamarat, 2
Freda Foh Shen, 5
Henry Wadsworth, 1
Shri Vallabh Vyas, 1
Woody Chambliss, 1
Ernest Wilson, 1
Brett Hogan, 2
Ralph Ahn, 1
Michael Donovan O'Donnell, 2
Michelle Bauer, 2
Louise Dresser, 1
Deborah Cass, 1
Christina Rotholz, 1
Josip Vujcic, 1
Gino Marrocco, 2
Valda Setterfield, 2
Isabel Algaze, 2
Roberto Rodriquez, 2
Minori Terada, 2
Nicole Garcia, 4
Tony Spiridakis, 2
Denis Quilley, 4
Florence Bates, 3
Chie Sema, 1
Frances Dee, 2
Elizabeth Hubbard, 2
Judith Evelyn, 3
Kelsang Tashi, 1
Paul Lazar, 10
Erik-Anders Nilsson, 2
Emmy Rossum, 11
Brita Öberg, 1
Penny LeGate, 3
Richard Council, 3
Andrew Prine, 7
John Dicks, 2
Rosa Campillo, 1
Haruko Sagara, 1
Ramiro Fabian, 2
Esther Muir, 1
Mike Schatz, 1
Chris Klein, 18
Carter McNeese, 1
Angela Means, 2
Herb Downer, 1
Annalise Emtsis, 2
Amal Rhoe, 1
Edward Herrmann, 23
Maria Campano, 1
Tim Maculan, 3
Robert Storr, 1
Sylvia Shemmell, 1
Ivan Furak, 1
Anndi McAfee, 9
Bobby Vinton, 1
Sonja Kirchberger, 1
Christopher Ling Lee Ian, 1
Maggie Baird, 1
Roxanna Bonilla-Giannini, 1
John Fowler, 2
Charlotte Ayanna, 9
Michel Constantin, 1
Brian Copeland, 1
Emily Watson, 20
Bob Casale, 2
Jean-Marie Juan, 1
Warna Fisher, 2
Ashley Madekwe, 1
Laura San Giacomo, 10
Perry Wilson, 1
Clay Cullen, 1
Roman Cardwell, 1
Seok Lee, 1
Danielle Darrieux, 3
Nicholas Woodeson, 8
Pierre-Alain de Garrigues, 1
Simon O'Connor, 3
Tom Powers, 7
Dean Goodman, 2
Forrest Wood, 2
Jamling Tenzing Norgay, 2
Lionel Barrymore, 8
Betsy Thurman, 1
Lucy Robinson, 1
Shun Nakayama, 1
Barbara Graley, 2
Beatie Edney, 3
Si Si Lu, 1
Dexter Fletcher, 15
Stephan Kampwirth, 1
Cem Yilmaz, 2
E.G. Marshall, 18
Joe McCormick, 1
Petru Gheorghiu, 1
Mie Hama, 3
Mae Barnes, 1
Grace Johnston, 1
Nando Orfei, 1
Vincent Gentile, 2
Natalia Cigliuti, 1
Will Sasso, 4
Vernon Wells, 13
Eddie Daniels, 2
Lawrence Gray, 1
Antonella Interlenghi, 1
George Theobald, 2
Siobhan McKenna, 1
Caroline Mortimer, 2
Mark Michals, 2
Vittorio Fanfoni, 2
Soleil McGhee, 2
Peter Demlakian, 1
Ben Mendelsohn, 9
Carol Channing, 2
Russell Pollard, 1
Richard Friedenberg, 2
Juan Pablo Shuk, 1
George Winslow, 1
Norman Fairley, 1
Susan Travers, 1
N!xau, 4
Aidan Turner, 2
Rolf Søder, 1
Nancy Lien, 1
Emidio La Vella, 1
Richard Waugh, 2
Kathleen Tolan, 2
Michelle Grisom, 2
Dennis Weaver, 3
Lap Phan, 1
Hilmar Thate, 1
Stefan Fatsis, 1
Alan Wilder, 4
Jean Négroni, 1
Chloe Hunter, 2
Laura Morelli, 1
Yevgeni Yevtushenko, 1
Bob Payne, 4
Tony Dolan, 4
Delores Taylor, 2
Eli Muñoz, 1
Jesse Woodrow, 1
Tricky, 2
Michael Don Evans, 1
Katharine Towne, 10
Simone Gad, 2
Frank Jenks, 1
Al LeBreton, 2
Stuart Greer, 4
Predrag Manojlovic, 7
Scott Thompson, 8
Rob Freeman, 1
Damian O'Hare, 6
Al Rochman, 2
Paula Biren, 1
Jan Oxenberg, 1
Helena Christensen, 2
Sandy Brown Wyeth, 1
Mil Seghers, 1
Martin J. Wolfman, 1
Raymond Roe, 1
Louis Eppolito, 3
Nuno Bettencourt, 1
Vinnie Curto, 3
Blake Pickett, 1
Daniel Rey, 2
Florence Pernel, 1
Christopher Gaze, 1
Douglas Sheldon, 2
Milt Kamen, 2
Brian J. Williams, 3
Miriam Cruz, 1
Lalo Rios, 3
Buddy Elias, 1
Taylor Fry, 2
Julia Worsley, 2
Ellen Dubin, 2
Eddie Yeghiayan, 1
Michael Bergeron, 1
Keith Gibbs, 4
Debrianna Mansini, 2
Olivia d'Abo, 15
Charles Tannen, 1
Olivier Gourmet, 7
John C. Flinn III, 1
Henri Piégay, 1
Allison Dean, 6
Jim Boyce, 2
Tony Giorgio, 3
Scott Denny, 1
Willem Poolman, 1
Andrew Secunda, 1
Craig H. Davidson, 1
Gary Littlejohn, 5
Greg Palast, 1
Lana Broekaert, 1
Vernon Campbell, 1
Jean-Yves Bilien, 2
Bruce Lester, 2
Matthew Licht, 2
Ronald Herdman, 2
Shaun Robinson, 2
Martha Vickers, 2
Torrey DeVitto, 1
Christopher Durang, 5
Giorgia Moll, 1
Stephnie Weir, 1
Arnold Vosloo, 16
Bengt Ekerot, 2
Michael Estime, 1
Frankie Man, 2
Roland Toutain, 1
Anne Jackson, 3
Tony Hawes, 1
Florrie Dugger, 1
David Burton, 2
Tom Everett, 9
Helen Shaver, 13
Annibale Ninchi, 1
Christopher Hampton, 1
David K. Schroeder, 2
Billy Burke, 9
Peter R. Bird, 1
Khan Chittenden, 1
Adriana Millan, 1
Laura, 2
Norman Anstey, 1
Peter Geeves, 6
Olive Deering, 3
Jeffrey Hunter, 3
Wang Sum, 2
Art Bonilla, 3
Eddie Frias, 2
George Shevtsov, 3
Joan Heal, 1
Ruth Buzzi, 3
Doug Ballard, 1
Jeremy Shada, 1
Mathew Wilkinson, 2
Maggie Renzi, 8
Susan Haskell, 2
Robert Meyer, 1
Ross Bagdasarian, 2
Frankie Negron, 1
Ruth Warrick, 2
Jean Speegle Howard, 4
Matt Dillon, 32
William Harrigan, 3
Adam Burke, 1
Billy Porter, 3
Laurent Le Doyen, 1
Mary Lynn Rajskub, 7
Gwen McGee, 3
Judy Hill, 1
Imani Parks, 1
Robert J. Wilke, 7
Ninka Scott, 1
William Preston Robertson, 1
Paul Vinson, 1
Richard Whelan, 1
Jennifer Rapp, 1
Linda Harrison, 6
Hyeong-tak Shin, 1
Darryl Theirse, 1
Joseph Marcus, 1
Lesleh Donaldson, 1
Nathan Mobley, 1
Anna Chancellor, 12
Hilary Labow, 2
Harry Thomas, 1
Donovan, 2
Danny Corkill, 2
Giulia Lombardi, 1
Alec Craig, 2
Julie Payne, 9
Roger Pierre, 1
Dorothée Blanck, 2
Julienne Davis, 3
Alain Fromager, 1
Yumi Adachi, 1
Greg Lindsay, 1
J.L. Parker, 1
Chikara Ishikura, 2
James McEachin, 4
Youko Yasuda, 1
Ian Sharrock, 2
Elham Sharifi, 1
Ilias Logothetis, 1
Seth MacFarlane, 10
Carmen McRae, 1
Matthew Laurance, 6
Craig Henne, 3
Chris Rebello, 2
Anna Grazyna Suchocka, 1
John Hamburg, 1
Brandon Call, 5
Dan Barnes, 1
Katherine Krapum Chey, 3
Philippe Uchan, 1
Ray Ventura, 1
Todd Sible, 2
Chuen Chiang, 1
Troy Blendell, 3
Ann Sheridan, 8
Amberly Marquard, 1
Guy Lankester, 1
Jim King, 2
Zlatko Crnkovic, 1
Noel Molina, 1
Larry Green, 2
Pearl Padamsee, 1
Patrick Bristow, 5
Jaime Tirelli, 5
Paul Landry, 1
Norman Bartold, 5
Willard E. Pugh, 12
David Figlioli, 1
Dwayne Hickman, 4
Manfred Spies, 1
Donald F. Cerio, 1
Rachel Snow, 3
Gorella Gori, 1
Robert Curtis Brown, 2
Ivan G'Vera, 1
Maria Claire, 1
P.J. Benjamin, 3
Christian Brassington, 1
Brandon Irons, 6
Bill Morey, 4
Topher Grace, 2
Philippe Ivancic, 1
Dick Friel, 1
Umberto Raho, 4
Allan Kolman, 3
Fionnula Flanagan, 9
Kylie Minogue, 6
Betty Ann Carr, 1
Josh Charles, 15
Taylor Negron, 15
Christopher Evan Welch, 1
Dale Shuger, 1
Yumi Kakazu, 1
Jane Akre, 1
Stephanie White, 1
Rosalinda Celentano, 1
Mike Foster, 1
Nicholle Tom, 3
Terence Kelly, 4
James Spader, 27
Djoko Rosic, 2
Bilge Jeschim, 2
Robert Weems, 2
Steve Pak, 1
David Belenky, 1
Dick Peabody, 1
Siu-Pang Chan, 1
Carl Dixon, 2
Colette Regibeau, 1
Christopher Tierney, 2
Kate Ashfield, 7
Sharie Doolittle, 1
Fidel Castro, 1
Felisa Rocha, 1
Tom Attenborough, 2
Henri Fridlani, 1
Clyde Lewis, 2
